Order ID,Order Date,Customer ID,Segment,Region,Category,Product Name,Quantity,Discount,Sales,Profit,Ship Mode,Profit Margin %,Order Month,Order Year
ORD-01620,2025-12-27,CUST-1206,Corporate,West,Clothing,Cotton T-Shirt,1,0.0,1214.78,110.83,Standard,9.12,2025-12,2025
ORD-01356,2024-05-30,CUST-0247,Home Office,West,Office Supplies,Sticky Notes Pack,1,0.1,220.71,29.0,Express,13.14,2024-05,2024
ORD-01603,2024-06-25,CUST-0257,Consumer,West,Furniture,Recliner Sofa,1,0.0,6837.7,654.65,Same Day,9.57,2024-06,2024
ORD-02244,2025-05-21,CUST-0766,Consumer,South,Office Supplies,Ballpoint Pen Box,2,0.0,160.64,54.57,Standard,33.97,2025-05,2025
ORD-03017,2025-03-03,CUST-0733,Corporate,East,Clothing,Woolen Sweater,1,0.0,1899.39,546.14,Express,28.75,2025-03,2025
ORD-01834,2025-04-29,CUST-0463,Home Office,North,Office Supplies,Desk Organizer,4,0.05,686.81,77.42,Express,11.27,2025-04,2025
ORD-01140,2025-01-21,CUST-0369,Consumer,South,Clothing,Denim Jeans,1,0.05,501.12,112.08,Standard,22.37,2025-01,2025
ORD-01084,2025-11-01,CUST-1191,Consumer,North,Electronics,Power Bank 10000mAh,1,0.05,1541.99,379.1,Standard,24.59,2025-11,2025
ORD-01576,2025-04-26,CUST-1327,Corporate,North,Furniture,Bed Side Table,1,0.0,5251.59,1531.64,Standard,29.17,2025-04,2025
ORD-01608,2024-01-07,CUST-0996,Consumer,West,Furniture,Bookshelf,2,0.0,2603.2,703.89,Express,27.04,2024-01,2024
ORD-01100,2024-02-14,CUST-0460,Corporate,North,Electronics,Wireless Mouse,2,0.0,9558.72,1007.76,Standard,10.54,2024-02,2024
ORD-01684,2024-11-23,CUST-0229,Corporate,South,Clothing,Denim Jeans,1,0.0,527.49,125.89,Standard,23.87,2024-11,2024
ORD-02818,2024-05-26,CUST-0744,Corporate,West,Clothing,Cotton T-Shirt,1,0.0,1214.78,110.83,Express,9.12,2024-05,2024
ORD-01458,2025-07-12,CUST-1151,Home Office,South,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2025-07,2025
ORD-02379,2024-11-18,CUST-1124,Consumer,West,Furniture,Bean Bag,2,0.0,15066.08,1671.18,Standard,11.09,2024-11,2024
ORD-01970,2025-11-04,CUST-0172,Corporate,East,Furniture,Bean Bag,1,0.0,7533.04,835.59,Standard,11.09,2025-11,2025
ORD-02037,2025-11-16,CUST-1090,Corporate,East,Electronics,Power Bank 10000mAh,1,0.15,1379.68,297.8,Standard,21.58,2025-11,2025
ORD-02619,2025-05-19,CUST-0373,Home Office,North,Furniture,Bed Side Table,2,0.0,10503.18,3063.28,Standard,29.17,2025-05,2025
ORD-02230,2024-05-23,CUST-0305,Consumer,South,Office Supplies,Sticky Notes Pack,1,0.0,245.23,39.58,Standard,16.14,2024-05,2024
ORD-01968,2025-12-13,CUST-1046,Corporate,East,Furniture,Bean Bag,2,0.0,15066.08,1671.18,Standard,11.09,2025-12,2025
ORD-02699,2024-11-09,CUST-0551,Corporate,South,Office Supplies,Whiteboard Marker Set,2,0.0,324.6,94.22,Standard,29.03,2024-11,2024
ORD-02726,2024-02-16,CUST-0745,Corporate,West,Office Supplies,File Folder Pack,2,0.0,330.46,106.97,Standard,32.37,2024-02,2024
ORD-01948,2024-01-20,CUST-0693,Corporate,North,Office Supplies,Desk Organizer,1,0.05,171.7,19.36,Standard,11.28,2024-01,2024
ORD-01233,2024-04-16,CUST-0436,Consumer,South,Clothing,Woolen Sweater,2,0.0,3798.78,1092.28,Standard,28.75,2024-04,2024
ORD-01590,2025-12-10,CUST-0070,Consumer,South,Electronics,Laptop Stand,1,0.0,1827.09,457.78,Same Day,25.06,2025-12,2025
ORD-02774,2024-06-23,CUST-1067,Corporate,North,Clothing,Sports Cap,2,0.0,3037.76,332.07,Standard,10.93,2024-06,2024
ORD-02780,2024-10-18,CUST-0893,Consumer,North,Clothing,Cotton T-Shirt,1,0.0,1214.78,110.83,Express,9.12,2024-10,2024
ORD-01960,2025-03-23,CUST-0609,Consumer,East,Electronics,Noise Cancelling Headphones,1,0.05,4458.99,1226.95,Standard,27.52,2025-03,2025
ORD-02246,2025-03-30,CUST-1373,Corporate,North,Electronics,Smartwatch,1,0.1,1485.94,348.34,Standard,23.44,2025-03,2025
ORD-02717,2025-02-25,CUST-0434,Corporate,East,Office Supplies,A4 Paper Ream,1,0.0,414.45,35.7,Standard,8.61,2025-02,2025
ORD-02047,2024-05-27,CUST-0483,Consumer,North,Furniture,Bed Side Table,1,0.15,4463.85,1101.02,Standard,24.67,2024-05,2024
ORD-02129,2025-05-09,CUST-1288,Consumer,North,Electronics,Smartwatch,2,0.0,3302.1,873.15,Express,26.44,2025-05,2025
ORD-02814,2024-04-26,CUST-1363,Consumer,North,Office Supplies,Desk Organizer,2,0.05,343.41,38.71,Standard,11.27,2024-04,2024
ORD-02399,2024-05-18,CUST-0590,Consumer,West,Electronics,Noise Cancelling Headphones,2,0.05,8917.97,2453.9,Standard,27.52,2024-05,2024
ORD-01724,2024-12-01,CUST-1196,Corporate,North,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2024-12,2024
ORD-02739,2025-10-15,CUST-0779,Consumer,East,Furniture,Filing Cabinet,2,0.1,13862.03,3068.69,Standard,22.14,2025-10,2025
ORD-01951,2025-11-13,CUST-0622,Consumer,South,Furniture,Filing Cabinet,1,0.0,7701.13,1935.86,Standard,25.14,2025-11,2025
ORD-02142,2024-12-26,CUST-0822,Consumer,West,Office Supplies,Sticky Notes Pack,1,0.0,245.23,39.58,Standard,16.14,2024-12,2024
ORD-01306,2025-03-31,CUST-0284,Consumer,South,Electronics,Smartwatch,1,0.0,1651.05,436.58,Same Day,26.44,2025-03,2025
ORD-01902,2025-05-04,CUST-0663,Corporate,West,Electronics,Noise Cancelling Headphones,1,0.0,9387.34,2723.86,Standard,29.02,2025-05,2025
ORD-01004,2024-07-01,CUST-1054,Corporate,East,Furniture,Filing Cabinet,1,0.0,7701.13,1935.86,Express,25.14,2024-07,2024
ORD-02143,2025-04-23,CUST-0972,Consumer,East,Clothing,Formal Shirt,1,0.0,2022.02,206.93,Standard,10.23,2025-04,2025
ORD-02985,2025-03-30,CUST-0030,Consumer,South,Clothing,Hoodie,1,0.0,1557.8,323.78,Standard,20.78,2025-03,2025
ORD-01786,2024-01-13,CUST-1192,Consumer,South,Clothing,Sports Cap,2,0.0,3037.76,332.07,Standard,10.93,2024-01,2024
ORD-02531,2025-11-29,CUST-0410,Consumer,South,Clothing,Sports Cap,1,0.0,1518.88,166.04,Standard,10.93,2025-11,2025
ORD-02200,2024-04-17,CUST-0047,Corporate,South,Office Supplies,Whiteboard Marker Set,2,0.0,324.6,94.22,Standard,29.03,2024-04,2024
ORD-01831,2025-09-04,CUST-0453,Consumer,West,Clothing,Cotton T-Shirt,4,0.0,4859.12,443.33,Standard,9.12,2025-09,2025
ORD-02041,2024-12-20,CUST-0655,Consumer,East,Electronics,Wireless Mouse,1,0.0,4779.36,503.88,Standard,10.54,2024-12,2024
ORD-02760,2024-04-06,CUST-0795,Consumer,East,Furniture,Study Table,1,0.0,6547.2,770.82,Express,11.77,2024-04,2024
ORD-01929,2025-01-14,CUST-0863,Consumer,West,Clothing,Running Shoes,2,0.05,2019.91,453.57,Standard,22.45,2025-01,2025
ORD-02757,2024-02-08,CUST-1003,Consumer,South,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2024-02,2024
ORD-01318,2024-02-06,CUST-1233,Corporate,North,Clothing,Hoodie,1,0.15,1324.13,215.62,Standard,16.28,2024-02,2024
ORD-02345,2024-10-17,CUST-0016,Corporate,West,Clothing,Sports Cap,1,0.1,1366.99,108.42,Standard,7.93,2024-10,2024
ORD-01411,2025-06-07,CUST-0781,Home Office,North,Furniture,Study Table,2,0.05,12439.68,1277.97,Express,10.27,2025-06,2025
ORD-01481,2024-11-16,CUST-1034,Consumer,East,Clothing,Woolen Sweater,1,0.0,1899.39,546.14,Standard,28.75,2024-11,2024
ORD-02466,2025-02-23,CUST-0488,Consumer,West,Electronics,Wireless Mouse,1,0.1,4301.42,324.45,Standard,7.54,2025-02,2025
ORD-02156,2024-03-15,CUST-0886,Consumer,North,Clothing,Denim Jeans,2,0.05,1002.23,224.16,Standard,22.37,2024-03,2024
ORD-01202,2025-04-28,CUST-0613,Home Office,South,Clothing,Formal Shirt,1,0.0,2022.02,206.93,Standard,10.23,2025-04,2025
ORD-01306,2025-03-31,CUST-0284,Consumer,South,Office Supplies,Whiteboard Marker Set,1,0.0,162.3,34.66,Same Day,21.36,2025-03,2025
ORD-01597,2024-07-24,CUST-1305,Corporate,West,Office Supplies,Stapler,1,0.0,252.46,54.35,Standard,21.53,2024-07,2024
ORD-01529,2025-07-21,CUST-0780,Consumer,East,Office Supplies,File Folder Pack,1,0.0,165.23,53.49,Standard,32.37,2025-07,2025
ORD-02643,2024-12-14,CUST-0284,Consumer,North,Clothing,Running Shoes,1,0.05,1009.95,226.78,Standard,22.45,2024-12,2024
ORD-02603,2025-06-22,CUST-1351,Consumer,West,Electronics,Wireless Mouse,1,0.1,4301.42,324.45,Standard,7.54,2025-06,2025
ORD-01513,2025-12-21,CUST-0801,Consumer,South,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2025-12,2025
ORD-01647,2025-11-08,CUST-1272,Consumer,North,Clothing,Denim Jeans,1,0.0,527.49,125.89,Express,23.87,2025-11,2025
ORD-02414,2025-09-12,CUST-0486,Corporate,South,Electronics,USB-C Charger,1,0.0,2602.31,519.74,Standard,19.97,2025-09,2025
ORD-01445,2024-09-20,CUST-0982,Home Office,South,Furniture,Bean Bag,1,0.0,7533.04,835.59,Standard,11.09,2024-09,2024
ORD-03033,2025-06-06,CUST-0648,Consumer,West,Electronics,Power Bank 10000mAh,1,0.0,1623.15,423.4,Standard,26.09,2025-06,2025
ORD-02896,2025-02-26,CUST-1095,Home Office,East,Electronics,USB-C Charger,1,0.0,2602.31,519.74,Express,19.97,2025-02,2025
ORD-01143,2024-11-10,CUST-0744,Corporate,West,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2024-11,2024
ORD-01869,2025-08-30,CUST-0102,Consumer,North,Clothing,Formal Shirt,1,0.05,1920.92,167.77,Express,8.73,2025-08,2025
ORD-02816,2024-12-14,CUST-1097,Corporate,West,Office Supplies,Sticky Notes Pack,1,0.0,245.23,39.58,Standard,16.14,2024-12,2024
ORD-01164,2024-10-07,CUST-0215,Consumer,South,Clothing,Woolen Sweater,1,0.0,1899.39,546.14,Standard,28.75,2024-10,2024
ORD-02140,2025-06-21,CUST-1137,Home Office,South,Clothing,Rain Jacket,1,0.0,1265.61,108.63,Standard,8.58,2025-06,2025
ORD-01211,2025-11-24,CUST-0859,Consumer,South,Office Supplies,Whiteboard Marker Set,1,0.0,162.3,47.11,Express,29.03,2025-11,2025
ORD-01771,2024-01-29,CUST-1099,Consumer,South,Office Supplies,Ballpoint Pen Box,1,0.0,80.32,27.29,Standard,33.98,2024-01,2024
ORD-02600,2025-02-01,CUST-0750,Consumer,South,Electronics,Webcam HD,1,0.0,4621.72,955.68,Standard,20.68,2025-02,2025
ORD-01441,2025-05-25,CUST-0452,Corporate,East,Office Supplies,Printer Ink Cartridge,1,0.0,370.95,92.51,Standard,24.94,2025-05,2025
ORD-02359,2025-10-14,CUST-1024,Consumer,East,Furniture,Bean Bag,3,0.0,22599.12,2506.76,Express,11.09,2025-10,2025
ORD-02306,2025-03-21,CUST-0064,Consumer,West,Electronics,Power Bank 10000mAh,2,0.0,3246.3,846.8,Standard,26.09,2025-03,2025
ORD-01647,2025-11-08,CUST-1272,Consumer,North,Clothing,Denim Jeans,1,0.0,527.49,125.89,Express,23.87,2025-11,2025
ORD-02464,2025-09-01,CUST-0822,Home Office,West,Office Supplies,Whiteboard Marker Set,1,0.05,154.18,42.44,Express,27.53,2025-09,2025
ORD-02665,2024-06-23,CUST-0710,Consumer,West,Office Supplies,Desk Organizer,1,0.0,180.74,23.09,Standard,12.78,2024-06,2024
ORD-02274,2025-01-14,CUST-0837,Corporate,South,Office Supplies,A4 Paper Ream,1,0.05,393.73,28.01,Standard,7.11,2025-01,2025
ORD-03045,2025-07-25,CUST-0122,Home Office,South,Office Supplies,File Folder Pack,1,0.1,148.71,43.68,Standard,29.37,2025-07,2025
ORD-01547,2024-04-15,CUST-1250,Corporate,West,Furniture,Bean Bag,2,0.0,15066.08,1671.18,Standard,11.09,2024-04,2024
ORD-01966,2025-01-29,CUST-1215,Home Office,North,Office Supplies,Whiteboard Marker Set,4,0.0,649.2,188.44,Express,29.03,2025-01,2025
ORD-01602,2024-08-24,CUST-0796,Consumer,North,Electronics,Noise Cancelling Headphones,2,0.0,9387.34,2723.86,Standard,29.02,2024-08,2024
ORD-01362,2024-02-26,CUST-0504,Consumer,West,Electronics,Webcam HD,2,0.0,9243.44,1911.36,Standard,20.68,2024-02,2024
ORD-01775,2025-06-11,CUST-0164,Consumer,North,Electronics,Smartwatch,1,0.15,1403.39,307.94,Standard,21.94,2025-06,2025
ORD-02630,2024-12-26,CUST-1374,Consumer,South,Clothing,Woolen Sweater,1,0.0,1899.39,546.14,Standard,28.75,2024-12,2024
ORD-02045,2025-07-11,CUST-0061,Consumer,East,Clothing,Sports Cap,1,0.0,1518.88,166.04,Express,10.93,2025-07,2025
ORD-01567,2025-12-14,CUST-0310,Consumer,West,Furniture,Bookshelf,1,0.05,1236.52,315.8,Standard,25.54,2025-12,2025
ORD-02635,2024-03-07,CUST-1370,Consumer,North,Clothing,Running Shoes,1,0.0,1063.11,254.67,Express,23.96,2024-03,2024
ORD-01949,2025-08-03,CUST-0238,Home Office,West,Clothing,Hoodie,1,0.05,1479.91,285.39,Standard,19.28,2025-08,2025
ORD-01225,2025-08-20,CUST-0219,Consumer,East,Electronics,Webcam HD,2,0.05,8781.27,1684.07,Standard,19.18,2025-08,2025
ORD-01548,2024-03-14,CUST-0434,Consumer,East,Office Supplies,A4 Paper Ream,2,0.0,828.9,71.4,Same Day,8.61,2024-03,2024
ORD-03050,2024-05-24,CUST-1232,Consumer,West,Office Supplies,Printer Ink Cartridge,3,0.0,1112.85,277.52,Standard,24.94,2024-05,2024
ORD-01010,2025-10-16,CUST-0848,Corporate,North,Office Supplies,A4 Paper Ream,2,0.0,828.9,71.4,Standard,8.61,2025-10,2025
ORD-02895,2024-05-27,CUST-0424,Home Office,North,Clothing,Formal Shirt,1,0.0,2022.02,206.93,Express,10.23,2024-05,2024
ORD-01761,2024-02-08,CUST-1051,Consumer,North,Furniture,Recliner Sofa,2,0.05,12991.63,1048.97,Standard,8.07,2024-02,2024
ORD-01532,2025-08-22,CUST-0657,Consumer,West,Clothing,Formal Shirt,1,0.0,2022.02,206.93,Standard,10.23,2025-08,2025
ORD-02763,2025-07-22,CUST-0017,Consumer,East,Office Supplies,Desk Organizer,4,0.0,722.96,92.34,Standard,12.77,2025-07,2025
ORD-02276,2025-12-07,CUST-0799,Consumer,South,Office Supplies,Ballpoint Pen Box,2,0.0,160.64,54.57,Express,33.97,2025-12,2025
ORD-01317,2025-08-14,CUST-0639,Consumer,South,Electronics,Laptop Stand,2,0.0,3654.18,915.55,Express,25.05,2025-08,2025
ORD-01508,2024-05-07,CUST-1325,Corporate,East,Furniture,Bed Side Table,2,0.0,10503.18,3063.28,Standard,29.17,2024-05,2024
ORD-01944,2025-08-17,CUST-0273,Consumer,West,Clothing,Sports Cap,1,0.05,1442.94,136.09,Standard,9.43,2025-08,2025
ORD-01719,2025-12-10,CUST-0998,Corporate,South,Electronics,Webcam HD,1,0.1,4159.55,735.33,Standard,17.68,2025-12,2025
ORD-02645,2025-02-15,CUST-0849,Consumer,West,Furniture,Filing Cabinet,1,0.0,7701.13,1935.86,Standard,25.14,2025-02,2025
ORD-02301,2024-05-12,CUST-0706,Consumer,North,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2024-05,2024
ORD-02854,2025-11-19,CUST-0378,Consumer,West,Electronics,Power Bank 10000mAh,2,0.0,3246.3,846.8,Standard,26.09,2025-11,2025
ORD-01484,2025-02-16,CUST-0374,Corporate,West,Electronics,Noise Cancelling Headphones,1,0.15,3989.62,978.11,Express,24.52,2025-02,2025
ORD-01269,2025-08-04,CUST-0987,Corporate,West,Furniture,Bed Side Table,4,0.0,21006.36,6126.56,Standard,29.17,2025-08,2025
ORD-01101,2024-02-11,CUST-1204,Corporate,West,Furniture,Filing Cabinet,1,0.0,7701.13,1935.86,Standard,25.14,2024-02,2024
ORD-02536,2025-02-05,CUST-0209,Home Office,North,Electronics,Power Bank 10000mAh,2,0.0,3246.3,846.8,Standard,26.09,2025-02,2025
ORD-02867,2024-03-09,CUST-0272,Consumer,West,Furniture,Filing Cabinet,2,0.0,15402.26,3871.73,Express,25.14,2024-03,2024
ORD-02709,2025-07-23,CUST-1248,Home Office,West,Office Supplies,Desk Organizer,2,0.0,361.48,46.17,Standard,12.77,2025-07,2025
ORD-02573,2024-03-23,CUST-1263,Consumer,South,Clothing,Running Shoes,1,0.0,1063.11,254.67,Standard,23.96,2024-03,2024
ORD-01100,2024-02-14,CUST-0460,Corporate,North,Furniture,Office Chair,2,0.0,25381.92,7734.13,Standard,30.47,2024-02,2024
ORD-02124,2025-02-02,CUST-0644,Corporate,East,Office Supplies,Desk Organizer,2,0.15,307.26,25.42,Standard,8.27,2025-02,2025
ORD-01256,2025-09-15,CUST-1018,Consumer,South,Office Supplies,Sticky Notes Pack,1,0.1,220.71,29.0,Standard,13.14,2025-09,2025
ORD-01414,2024-05-13,CUST-0471,Home Office,West,Clothing,Cotton T-Shirt,1,0.0,1214.78,110.83,Express,9.12,2024-05,2024
ORD-02676,2024-10-24,CUST-0135,Corporate,East,Electronics,Laptop Stand,1,0.0,1827.09,457.78,Express,25.06,2024-10,2024
ORD-02569,2024-10-12,CUST-1356,Consumer,East,Office Supplies,File Folder Pack,1,0.0,165.23,53.49,Standard,32.37,2024-10,2024
ORD-01551,2025-10-01,CUST-0468,Consumer,North,Clothing,Sports Cap,1,0.05,1442.94,136.09,Express,9.43,2025-10,2025
ORD-03032,2024-12-02,CUST-0123,Home Office,North,Electronics,Power Bank 10000mAh,2,0.05,3083.98,758.2,Standard,24.59,2024-12,2024
ORD-02603,2025-06-22,CUST-1351,Consumer,West,Electronics,Webcam HD,2,0.0,9243.44,1911.36,Standard,20.68,2025-06,2025
ORD-02498,2025-03-20,CUST-1315,Consumer,North,Clothing,Denim Jeans,1,0.0,527.49,125.89,Standard,23.87,2025-03,2025
ORD-02074,2024-11-27,CUST-0174,Consumer,South,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2024-11,2024
ORD-01234,2025-12-05,CUST-0707,Corporate,North,Clothing,Woolen Sweater,1,0.0,1899.39,546.14,Standard,28.75,2025-12,2025
ORD-01370,2024-11-28,CUST-1351,Corporate,West,Electronics,Power Bank 10000mAh,1,0.0,1623.15,423.4,Standard,26.09,2024-11,2024
ORD-02601,2024-03-12,CUST-0347,Corporate,South,Office Supplies,Stapler,2,0.0,504.92,108.7,Express,21.53,2024-03,2024
ORD-01392,2025-12-08,CUST-0614,Consumer,South,Electronics,Laptop Stand,2,0.0,3654.18,915.55,Standard,25.05,2025-12,2025
ORD-02652,2025-07-13,CUST-0641,Consumer,North,Office Supplies,Whiteboard Marker Set,1,0.0,162.3,47.11,Same Day,29.03,2025-07,2025
ORD-01397,2024-06-05,CUST-1287,Consumer,East,Furniture,Recliner Sofa,3,0.0,20513.1,1963.96,Standard,9.57,2024-06,2024
ORD-02355,2025-12-30,CUST-0054,Consumer,West,Electronics,Wireless Mouse,1,0.0,4779.36,503.88,Standard,10.54,2025-12,2025
ORD-02450,2024-03-22,CUST-0250,Home Office,West,Furniture,Bed Side Table,2,0.15,8927.7,2202.04,Express,24.67,2024-03,2024
ORD-02681,2024-07-18,CUST-1258,Consumer,South,Furniture,Recliner Sofa,1,0.0,6837.7,654.65,Standard,9.57,2024-07,2024
ORD-02542,2025-10-13,CUST-0085,Corporate,East,Office Supplies,Ballpoint Pen Box,2,0.15,136.54,40.24,Standard,29.47,2025-10,2025
ORD-02399,2024-05-18,CUST-0590,Consumer,West,Clothing,Sports Cap,2,0.0,3037.76,332.07,Standard,10.93,2024-05,2024
ORD-01598,2024-08-31,CUST-1303,Consumer,East,Electronics,Power Bank 10000mAh,1,0.15,1379.68,297.8,Standard,21.58,2024-08,2024
ORD-02409,2025-07-06,CUST-0419,Consumer,North,Furniture,Filing Cabinet,2,0.1,13862.03,3068.69,Standard,22.14,2025-07,2025
ORD-02926,2024-01-14,CUST-1211,Consumer,South,Furniture,Wall Shelf,1,0.0,8917.06,1764.81,Standard,19.79,2024-01,2024
ORD-01605,2024-02-25,CUST-0209,Home Office,North,Electronics,Laptop Stand,2,0.0,3654.18,915.55,Express,25.05,2024-02,2024
ORD-02178,2024-03-11,CUST-1144,Consumer,East,Office Supplies,Stapler,1,0.15,214.59,36.54,Same Day,17.03,2024-03,2024
ORD-01160,2025-11-17,CUST-0362,Corporate,West,Office Supplies,Ballpoint Pen Box,2,0.1,144.58,44.78,Standard,30.97,2025-11,2025
ORD-01980,2025-10-20,CUST-1385,Consumer,East,Office Supplies,Stapler,4,0.0,1009.84,217.4,Standard,21.53,2025-10,2025
ORD-02241,2025-01-30,CUST-0495,Consumer,East,Clothing,Formal Shirt,1,0.0,2022.02,206.93,Express,10.23,2025-01,2025
ORD-02988,2025-03-30,CUST-1155,Corporate,South,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2025-03,2025
ORD-01273,2024-02-22,CUST-1359,Consumer,West,Electronics,Smartwatch,1,0.15,1403.39,307.94,Standard,21.94,2024-02,2024
ORD-01167,2024-05-17,CUST-0722,Home Office,East,Office Supplies,Sticky Notes Pack,1,0.05,232.97,34.11,Standard,14.64,2024-05,2024
ORD-02982,2025-05-09,CUST-1250,Consumer,East,Furniture,Wall Shelf,2,0.0,17834.12,3529.62,Express,19.79,2025-05,2025
ORD-02586,2024-12-29,CUST-1244,Consumer,North,Furniture,Bed Side Table,3,0.1,14179.29,3710.05,Standard,26.17,2024-12,2024
ORD-02232,2025-10-20,CUST-1015,Corporate,South,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2025-10,2025
ORD-01030,2024-10-20,CUST-0525,Consumer,North,Office Supplies,Whiteboard Marker Set,1,0.0,162.3,47.11,Express,29.03,2024-10,2024
ORD-01349,2025-12-02,CUST-0119,Home Office,South,Office Supplies,Ballpoint Pen Box,1,0.1,72.29,22.39,Express,30.97,2025-12,2025
ORD-02377,2025-04-26,CUST-1164,Corporate,North,Office Supplies,Whiteboard Marker Set,3,0.0,486.9,141.33,Standard,29.03,2025-04,2025
ORD-01085,2024-10-04,CUST-1173,Consumer,North,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Standard,29.02,2024-10,2024
ORD-02807,2025-12-30,CUST-0293,Consumer,North,Clothing,Running Shoes,2,0.1,1913.6,400.99,Same Day,20.95,2025-12,2025
ORD-01698,2024-05-16,CUST-0556,Consumer,East,Electronics,USB-C Charger,2,0.0,5204.62,1039.48,Standard,19.97,2024-05,2024
ORD-01868,2024-03-30,CUST-0355,Consumer,North,Office Supplies,Stapler,1,0.0,252.46,54.35,Standard,21.53,2024-03,2024
ORD-01232,2024-02-04,CUST-0150,Consumer,North,Office Supplies,Ballpoint Pen Box,1,0.0,80.32,27.29,Standard,33.98,2024-02,2024
ORD-02277,2024-12-25,CUST-0095,Corporate,West,Office Supplies,Desk Organizer,1,0.15,153.63,12.71,Standard,8.27,2024-12,2024
ORD-01723,2024-03-26,CUST-0450,Consumer,North,Electronics,Noise Cancelling Headphones,1,0.0,4693.67,1361.93,Same Day,29.02,2024-03,2024
ORD-01229,2024-05-24,CUST-0366,Home Office,South,Office Supplies,Ballpoint Pen Box,1,0.1,72.29,22.39,Standard,30.97,2024-05,2024
ORD-02734,2025-12-10,CUST-1191,Corporate,North,Clothing,Rain Jacket,1,0.0,1265.61,108.63,Same Day,8.58,2025-12,2025
ORD-02488,2025-07-11,CUST-1388,Consumer,West,Clothing,Hoodie,1,0.05,1479.91,285.39,Standard,19.28,2025-07,2025
ORD-02571,2025-01-26,CUST-0152,Consumer,North,Electronics,Wireless Mouse,4,0.0,19117.44,2015.51,Express,10.54,2025-01,2025
ORD-02593,2024-03-29,CUST-0293,Consumer,East,Furniture,Wall Shelf,2,0.0,17834.12,3529.62,Standard,19.79,2024-03,2024
ORD-02973,2024-01-11,CUST-1180,Consumer,South,Furniture,Study Table,2,0.1,11784.96,1033.93,Express,8.77,2024-01,2024
ORD-01217,2024-06-30,CUST-0424,Consumer,South,Office Supplies,Desk Organizer,1,0.0,180.74,23.09,Express,12.78,2024-06,2024
ORD-01123,2024-08-28,CUST-1215,Home Office,South,Electronics,Webcam HD,1,0.0,4621.72,955.68,Standard,20.68,2024-08,2024
ORD-02271,2024-10-06,CUST-0446,Corporate,North,Electronics,Smartwatch,1,0.05,1568.5,391.22,Same Day,24.94,2024-10,2024
ORD-01872,2024-02-17,CUST-0826,Home Office,North,Furniture,Wall Shelf,1,0.1,8025.35,1347.57,Standard,16.79,2024-02,2024
